from,to
9,8
9,7
11,9
38,36
39,38
40,38
61,59
63,61
61,60
133,132
133,131
135,133
170,168
171,170
172,170
161,160
161,159
163,161
184,182
185,184
186,184
187,186
187,185
189,187
20,18
18,16
19,18
25,23
23,22
23,21
62,60
63,62
64,62
99,98
99,97
101,99
150,148
151,150
152,150
193,192
193,191
195,193
197,196
197,195
199,197
90,88
91,90
92,90
17,15
15,14
15,13
35,33
37,35
35,34
39,37
41,39
67,66
67,65
69,67
88,86
89,88
164,162
165,164
166,164
179,177
177,176
177,175
14,12
16,14
28,26
26,24
27,26
77,76
77,75
79,77
117,115
119,117
117,116
127,125
125,124
125,123
171,169
173,171
173,172
174,172
175,174
175,173
36,34
37,36
51,50
51,49
53,51
105,104
106,104
104,102
135,134
137,135
138,136
139,138
140,138
4,2
5,4
6,4
11,10
13,11
13,12
60,58
121,120
121,119
123,121
21,20
22,20
83,82
83,81
85,83
147,146
147,145
149,147
162,160
160,158
185,183
1,0
2,0
122,120
123,122
124,122
127,126
129,127
163,162
165,163
168,166
169,168
48,46
49,48
50,48
79,78
81,79
81,80
93,92
94,92
192,190
194,192
5,3
7,5
116,114
118,116
144,142
145,144
146,144
159,158
159,157
137,136
136,134
139,137
29,27
27,25
65,64
65,63
101,100
103,101
119,118
132,130
134,132
66,64
68,66
115,114
115,113
120,118
176,174
19,17
21,19
55,54
55,53
57,55
57,56
59,57
107,106
107,105
109,107
110,108
111,110
112,110
130,128
131,130
178,176
179,178
180,178
86,84
87,86
93,91
95,93
111,109
113,111
195,194
10,8
12,10
41,40
43,41
52,50
53,52
54,52
71,70
72,70
70,68
154,152
155,154
156,154
198,196
199,198
7,6
42,40
114,112
141,140
141,139
143,141
32,30
33,32
34,32
113,112
148,146
181,179
31,30
30,28
69,68
71,69
74,72
73,72
143,142
142,140
149,148
87,85
89,87
128,126
129,128
31,29
33,31
47,46
47,45
49,47
100,98
102,100
191,189
189,188
25,24
75,74
76,74
91,89
96,94
97,96
98,96
97,95
190,188
191,190
80,78
82,80
85,84
8,6
43,42
44,42
46,44
73,71
78,76
155,153
157,155
167,166
196,194
103,102
105,103
108,106
145,143
17,16
29,28
58,56
59,58
183,181
181,180
188,186
45,44
45,43
95,94
153,152
153,151
75,73
158,156
126,124
151,149
3,2
84,82
109,108
167,165
169,167
182,180
131,129
3,1
24,22
157,156
183,182
56,54
